type,uri,vmmParameterId,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collection,broader
skos:Concept,cf:0069,1282,FF,"Windsnelheid, vectorieel",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0070,1288,Lengte,Lengte,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0071,1289,Breedte,Breedte,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0072,1290,Diepte,Bemonsteringsdiepte,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0073,1291,Dikte,Dikte,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0074,1292,Dauwpunt,Dauwpunt,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0075,1293,Tv,Temperatuursverschil,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0076,1296,H+,Zuurtegraad,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0077,1308,Straling uv-B,"Straling, ultraviolet (type B)",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0078,1326,d13C,Isotopenverhouding koolstof 13 en 12,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0079,1327,d15N,Isotopenverhouding stikstof 15 en 14,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0080,1516,DE*ab,CIE 1976 totaal kleurverschil,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0018
skos:Concept,cf:0081,1517,Gewicht,Gewicht,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0082,1541,BioDegr,Biodegradeerbaarheid,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0083,1667,NH3-N,niet te gebruiken,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0084,1669,BZV5 rendement,Rendement BZV5 ten opzichte van influentbelasting,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0085,1670,CZV rendement,Rendement CZV ten opzichte van influentbelasting,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0086,1672,N t rendement,rendement N t tov influentbelasting,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0087,1683,Fol h2o_vlucht,Met waterdamp vluchtige fenolen,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
